
ANOMALY tick: +10@2015.04.01.15.39.35
138.37.37.238->138.37.36.26: 2.0 (2.0)
138.37.37.238->138.37.36.201: 14.0 (8.0)
138.37.37.238->138.37.36.142: 12.0 (-17.0)
138.37.37.238->138.37.36.211: 3.0 (-5.0)
138.37.37.238->138.37.36.105: 2.0 (2.0)
138.37.37.238->138.37.36.116: 0.0 (-2.0)
138.37.37.238->138.37.36.102: 0.0 (-16.0)
138.37.37.238->138.37.36.25: 2.0 (2.0)
138.37.37.238->138.37.36.153: 16.0 (16.0)
138.37.37.238->138.37.36.112: 0.0 (-1.0)
138.37.37.238->138.37.36.143: 0.0 (-1.0)
138.37.37.238->138.37.36.28: 0.0 (-11.0)
138.37.37.238->138.37.36.51: 0.0 (-6.0)
138.37.37.238->138.37.36.107: 2.0 (1.0)
138.37.37.238->138.37.36.167: 0.0 (-11.0)
138.37.37.238->138.37.36.106: 0.0 (-5.0)
138.37.37.238->138.37.36.138: 0.0 (-42.0)
138.37.37.238->138.37.36.145: 2.0 (2.0)
138.37.37.238->138.37.36.140: 5.0 (5.0)
138.37.37.238->138.37.36.109: 5.0 (5.0)
138.37.37.238->138.37.36.198: 0.0 (-1.0)
138.37.37.238->138.37.36.33: 0.0 (-13.0)
138.37.37.238->138.37.36.97: 1.0 (1.0)
138.37.37.238->138.37.36.1: 0.0 (-3.0)
138.37.36.150->138.37.37.70: 0.0 (-2.0)
138.37.36.150->138.37.36.28: 0.0 (-1.0)
138.37.36.175->138.37.37.196: 0.0 (-1.0)
138.37.36.175->138.37.36.16: 0.0 (-2.0)
138.37.36.175->138.37.37.142: 0.0 (-3.0)
138.37.36.111->138.37.37.71: 1.0 (1.0)
138.37.37.196->138.37.36.132: 0.0 (-1.0)
138.37.37.196->138.37.36.160: 1.0 (-2.0)
138.37.37.196->138.37.37.68: 0.0 (-1.0)
138.37.37.196->138.37.36.168: 1.0 (1.0)
138.37.37.196->138.37.36.230: 0.0 (-1.0)
138.37.37.196->138.37.36.30: 1.0 (1.0)
138.37.37.196->138.37.36.133: 1.0 (1.0)
138.37.37.196->138.37.36.144: 0.0 (-3.0)
138.37.37.196->138.37.36.146: 1.0 (1.0)
138.37.37.196->138.37.36.224: 0.0 (-1.0)
138.37.37.196->138.37.36.102: 0.0 (-1.0)
138.37.37.196->138.37.36.122: 0.0 (-1.0)
138.37.37.196->138.37.36.172: 1.0 (1.0)
138.37.37.196->138.37.36.47: 1.0 (1.0)
138.37.37.196->138.37.36.202: 1.0 (1.0)
138.37.37.196->138.37.36.31: 0.0 (-1.0)
138.37.37.196->138.37.36.166: 2.0 (2.0)
138.37.37.196->138.37.36.210: 1.0 (1.0)
138.37.37.196->138.37.36.243: 1.0 (1.0)
138.37.37.196->138.37.36.28: 0.0 (-1.0)
138.37.37.196->138.37.36.58: 1.0 (1.0)
138.37.37.196->138.37.36.73: 1.0 (1.0)
138.37.37.196->138.37.36.51: 0.0 (-1.0)
138.37.37.196->138.37.36.167: 1.0 (1.0)
138.37.37.196->138.37.36.29: 1.0 (1.0)
138.37.37.196->138.37.36.125: 0.0 (-2.0)
138.37.37.196->138.37.36.145: 0.0 (-1.0)
138.37.37.196->138.37.36.5: 1.0 (1.0)
138.37.37.196->138.37.36.217: 0.0 (-1.0)
138.37.37.196->138.37.36.120: 0.0 (-1.0)
138.37.37.196->138.37.36.24: 0.0 (-1.0)
138.37.37.196->138.37.36.129: 0.0 (-1.0)
138.37.37.196->138.37.36.180: 0.0 (-1.0)
138.37.37.196->138.37.36.96: 0.0 (-1.0)
138.37.37.196->138.37.36.108: 0.0 (-1.0)
138.37.37.196->138.37.36.39: 1.0 (1.0)
138.37.37.196->138.37.36.137: 0.0 (-1.0)
138.37.37.196->138.37.36.8: 1.0 (1.0)
138.37.37.196->138.37.36.118: 0.0 (-1.0)
138.37.37.196->138.37.36.99: 2.0 (2.0)
138.37.37.196->138.37.36.71: 0.0 (-1.0)
138.37.37.196->138.37.36.165: 0.0 (-1.0)
138.37.37.196->138.37.36.19: 1.0 (1.0)
138.37.36.132->138.37.37.70: 0.0 (-5.0)
138.37.36.132->138.37.36.152: 1.0 (1.0)
138.37.36.42->138.37.37.88: 0.0 (-3.0)
138.37.36.42->138.37.36.125: 0.0 (-1.0)
138.37.36.42->138.37.36.138: 0.0 (-1.0)
138.37.36.160->138.37.37.197: 119.0 (119.0)
138.37.36.64->138.37.37.70: 1.0 (1.0)
138.37.36.184->138.37.36.230: 0.0 (-1.0)
138.37.36.184->138.37.36.72: 0.0 (-1.0)
138.37.37.85->138.37.36.73: 0.0 (-1.0)
138.37.37.85->138.37.36.92: 1.0 (1.0)
138.37.37.85->138.37.36.67: 1.0 (1.0)
138.37.36.26->138.37.36.167: 1.0 (1.0)
138.37.36.205->138.37.36.202: 0.0 (-1.0)
138.37.36.74->138.37.36.133: 1.0 (1.0)
138.37.36.168->138.37.36.122: 0.0 (-41.0)
138.37.36.168->138.37.36.221: 76.0 (76.0)
138.37.37.71->138.37.36.145: 0.0 (-1.0)
138.37.36.157->138.37.36.107: 0.0 (-2.0)
138.37.36.230->138.37.36.144: 7.0 (7.0)
138.37.37.88->138.37.36.105: 0.0 (-1.0)
138.37.37.88->138.37.36.108: 0.0 (-1.0)
138.37.37.88->138.37.36.48: 1.0 (1.0)
138.37.37.88->138.37.36.118: 0.0 (-1.0)
138.37.88.89->138.37.36.60: 2.0 (2.0)
138.37.88.89->138.37.36.51: 3.0 (3.0)
138.37.88.89->138.37.36.137: 1.0 (-1.0)
138.37.36.30->138.37.36.105: 1.0 (1.0)
138.37.36.30->138.37.36.180: 0.0 (-1.0)
138.37.37.70->138.37.36.210: 1.0 (1.0)
138.37.37.70->138.37.36.66: 1.0 (1.0)
138.37.37.70->138.37.36.96: 0.0 (-1.0)
138.37.36.133->138.37.37.82: 0.0 (-1.0)
138.37.36.133->138.37.37.74: 0.0 (-1.0)
138.37.36.133->138.37.36.108: 0.0 (-2.0)
138.37.36.60->138.37.36.122: 0.0 (-1.0)
138.37.37.140->138.37.36.29: 4.0 (4.0)
138.37.36.72->138.37.36.28: 6.0 (6.0)
138.37.37.139->138.37.36.143: 0.0 (-1.0)
138.37.36.144->138.37.37.137: 1.0 (1.0)
138.37.36.155->54.84.181.184: 0.0 (-1.0)
138.37.36.155->173.252.120.2: 0.0 (-3.0)
138.37.36.116->138.37.36.73: 0.0 (-1.0)
138.37.36.146->138.37.37.82: 2.0 (2.0)
138.37.36.146->138.37.36.48: 0.0 (-1.0)
138.37.36.102->138.37.36.29: 3.0 (3.0)
138.37.36.102->138.37.36.99: 0.0 (-1.0)
138.37.36.161->138.37.36.172: 1.0 (1.0)
138.37.36.161->138.37.37.74: 244.0 (244.0)
138.37.36.161->138.37.36.44: 1.0 (1.0)
138.37.36.161->138.37.0.88: 1.0 (1.0)
138.37.36.161->138.37.36.1: 1.0 (1.0)
138.37.37.82->138.37.36.51: 0.0 (-1.0)
138.37.37.82->138.37.36.137: 0.0 (-1.0)
138.37.36.122->138.37.36.125: 46.0 (46.0)
138.37.36.122->138.37.37.69: 1.0 (1.0)
138.37.36.122->138.37.36.121: 1.0 (1.0)
138.37.36.122->138.37.36.99: 3.0 (3.0)
138.37.37.77->138.37.36.73: 0.0 (-1.0)
138.37.36.25->138.37.36.145: 29.0 (29.0)
138.37.36.172->138.37.37.137: 1.0 (1.0)
138.37.36.112->138.37.95.206: 0.0 (-2.0)
138.37.36.166->138.37.36.29: 0.0 (-4.0)
138.37.36.166->138.37.36.130: 63.0 (63.0)
138.37.37.142->138.37.36.140: 1.0 (1.0)
138.37.36.243->138.37.37.73: 1.0 (1.0)
138.37.36.58->138.37.36.22: 0.0 (-1.0)
138.37.36.167->138.37.36.22: 0.0 (-1.0)
138.37.36.167->138.37.36.147: 16.0 (16.0)
138.37.37.197->138.37.36.145: 0.0 (-1.0)
138.37.37.73->138.37.36.92: 1.0 (1.0)
138.37.37.73->138.37.36.8: 1.0 (1.0)
138.37.37.73->138.37.36.19: 1.0 (1.0)
138.37.37.74->138.37.36.24: 2.0 (-12.0)
138.37.37.74->138.37.36.118: 1.0 (1.0)
138.37.36.154->138.37.37.128: 0.0 (-1.0)
138.37.0.88->138.37.36.20: 0.0 (-1.0)
138.37.0.88->138.37.36.81: 1.0 (1.0)
138.37.0.88->138.37.36.137: 0.0 (-1.0)
138.37.36.221->138.37.36.138: 0.0 (-1.0)
138.37.36.138->216.58.208.78: 0.0 (-2.0)
138.37.36.145->138.37.95.206: 0.0 (-1.0)
